This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans Code          
U+0000 Basic Latin                              100% (95/95)      
U+0080 Latin-1 Supplement                       100% (96/96)      
U+0100 Latin Extended-A                         100% (128/128)    
U+0180 Latin Extended-B                          86% (180/208)    
U+0250 IPA Extensions                           100% (96/96)      
U+02b0 Spacing Modifier Letters                  62% (50/80)      
U+0300 Combining Diacritical Marks               59% (67/112)     
U+0370 Greek and Coptic                          85% (116/135)    
U+0400 Cyrillic                                  70% (180/256)    
U+0500 Cyrillic Supplement                       12% (6/48)       
U+0530 Armenian                                  96% (86/89)      
U+0590 Hebrew                                        (0/87)       
U+0600 Arabic                                    38% (99/255)     
U+0700 Syriac                                        (0/77)       
U+0750 Arabic Supplement                             (0/48)       
U+0780 Thaana                                        (0/50)       
U+07c0 NKo                                           (0/59)       
U+0800 Samaritan                                     (0/61)       
U+0840 Mandaic                                       (0/29)       
U+08a0 Arabic Extended-A                             (0/73)       
U+0900 Devanagari                                    (0/128)      
U+0980 Bengali                                       (0/93)       
U+0a00 Gurmukhi                                      (0/79)       
U+0a80 Gujarati                                      (0/85)       
U+0b00 Oriya                                         (0/90)       
U+0b80 Tamil                                         (0/72)       
U+0c00 Telugu                                        (0/96)       
U+0c80 Kannada                                       (0/88)       
U+0d00 Malayalam                                     (0/114)      
U+0d80 Sinhala                                       (0/90)       
U+0e00 Thai                                       1% (1/87)       
U+0e80 Lao                                       68% (46/67)      
U+0f00 Tibetan                                       (0/211)      
U+1000 Myanmar                                       (0/160)      
U+10a0 Georgian                                  51% (45/88)      
U+1100 Hangul Jamo                                   (0/256)      
U+1200 Ethiopic                                      (0/358)      
U+1380 Ethiopic Supplement                           (0/26)       
U+13a0 Cherokee                                      (0/92)       
U+1400 Unified Canadian Aboriginal Syllabics         (0/640)      
U+1680 Ogham                                         (0/29)       
U+16a0 Runic                                         (0/89)       
U+1700 Tagalog                                       (0/20)       
U+1720 Hanunoo                                       (0/23)       
U+1740 Buhid                                         (0/20)       
U+1760 Tagbanwa                                      (0/18)       
U+1780 Khmer                                         (0/114)      
U+1800 Mongolian                                     (0/156)      
U+18b0 Unified Canadian Aboriginal Syllabics Extended      (0/70)       
U+1900 Limbu                                         (0/68)       
U+1950 Tai Le                                        (0/35)       
U+1980 New Tai Lue                                   (0/83)       
U+19e0 Khmer Symbols                                 (0/32)       
U+1a00 Buginese                                      (0/30)       
U+1a20 Tai Tham                                      (0/127)      
U+1ab0 Combining Diacritical Marks Extended          (0/15)       
U+1b00 Balinese                                      (0/121)      
U+1b80 Sundanese                                     (0/64)       
U+1bc0 Batak                                         (0/56)       
U+1c00 Lepcha                                        (0/74)       
U+1c50 Ol Chiki                                      (0/48)       
U+1c80 Cyrillic Extended-C                           (0/9)        
U+1cc0 Sundanese Supplement                          (0/8)        
U+1cd0 Vedic Extensions                              (0/41)       
U+1d00 Phonetic Extensions                       48% (62/128)     
U+1d80 Phonetic Extensions Supplement            57% (37/64)      
